Operation,Module_A,Module_B,Header,From
Primary,graph,random,boost/random/uniform_01.hpp,boost/graph/gursoy_atun_layout.hpp boost/graph/random_layout.hpp boost/graph/rmat_graph_generator.hpp boost/graph/small_world_generator.hpp boost/graph/ssca_graph_generator.hpp boost/graph/topology.hpp
Primary,graph,random,boost/random/uniform_int.hpp,boost/graph/erdos_renyi_generator.hpp boost/graph/plod_generator.hpp boost/graph/random.hpp boost/graph/random_layout.hpp boost/graph/rmat_graph_generator.hpp boost/graph/small_world_generator.hpp boost/graph/ssca_graph_generator.hpp
Primary,graph,random,boost/random/uniform_real.hpp,boost/graph/random.hpp boost/graph/random_layout.hpp
Primary,graph,random,boost/random/variate_generator.hpp,boost/graph/random.hpp
Primary,graph,range,boost/range/algorithm/copy.hpp,boost/detail/algorithm.hpp
Primary,graph,range,boost/range/algorithm/count.hpp,boost/detail/algorithm.hpp
Primary,graph,range,boost/range/algorithm/count_if.hpp,boost/detail/algorithm.hpp
Primary,graph,range,boost/range/algorithm/equal.hpp,boost/detail/algorithm.hpp
Primary,graph,range,boost/range/algorithm/find_if.hpp,boost/detail/algorithm.hpp
Primary,graph,range,boost/range/algorithm/sort.hpp,boost/detail/algorithm.hpp boost/graph/vf2_sub_graph_iso.hpp
Primary,graph,range,boost/range/algorithm/stable_sort.hpp,boost/detail/algorithm.hpp
Primary,graph,range,boost/range/algorithm_ext/iota.hpp,boost/detail/algorithm.hpp
Primary,graph,range,boost/range/algorithm_ext/is_sorted.hpp,boost/detail/algorithm.hpp
Primary,graph,range,boost/range/begin.hpp,boost/detail/algorithm.hpp boost/graph/hawick_circuits.hpp
Primary,graph,range,boost/range/end.hpp,boost/detail/algorithm.hpp boost/graph/hawick_circuits.hpp
Primary,graph,range,boost/range/irange.hpp,boost/graph/adjacency_matrix.hpp boost/graph/detail/adjacency_list.hpp boost/graph/edge_list.hpp boost/graph/vector_as_graph.hpp
Primary,graph,range,boost/range/iterator.hpp,boost/graph/hawick_circuits.hpp
Primary,graph,range,boost/range/iterator_range_core.hpp,boost/graph/maximum_weighted_matching.hpp
Primary,graph,regex,boost/regex.hpp,libs/graph/src/read_graphviz_new.cpp
Primary,graph,serialization,boost/serialization/base_object.hpp,boost/pending/property_serialize.hpp
Primary,graph,serialization,boost/serialization/collections_load_imp.hpp,boost/graph/adj_list_serialize.hpp
Primary,graph,serialization,boost/serialization/collections_save_imp.hpp,boost/graph/adj_list_serialize.hpp
Primary,graph,serialization,boost/serialization/is_bitwise_serializable.hpp,boost/pending/property_serialize.hpp
Primary,graph,serialization,boost/serialization/nvp.hpp,boost/pending/property_serialize.hpp
Primary,graph,serialization,boost/serialization/split_free.hpp,boost/graph/adj_list_serialize.hpp
Primary,graph,smart_ptr,boost/enable_shared_from_this.hpp,boost/graph/r_c_shortest_paths.hpp
Primary,graph,smart_ptr,boost/make_shared.hpp,boost/graph/mcgregor_common_subgraphs.hpp boost/graph/r_c_shortest_paths.hpp
Primary,graph,smart_ptr,boost/scoped_ptr.hpp,boost/graph/adjacency_list.hpp
Primary,graph,smart_ptr,boost/shared_array.hpp,boost/graph/detail/d_ary_heap.hpp boost/graph/one_bit_color_map.hpp boost/graph/two_bit_color_map.hpp
Primary,graph,smart_ptr,boost/shared_ptr.hpp,boost/graph/erdos_renyi_generator.hpp boost/graph/gursoy_atun_layout.hpp boost/graph/metric_tsp_approx.hpp boost/graph/planar_detail/boyer_myrvold_impl.hpp boost/graph/planar_detail/face_handles.hpp boost/graph/plod_generator.hpp boost/graph/rmat_graph_generator.hpp boost/graph/topology.hpp
Primary,graph,smart_ptr,boost/smart_ptr.hpp,boost/graph/dijkstra_shortest_paths.hpp boost/graph/isomorphism.hpp
Primary,graph,smart_ptr,boost/smart_ptr/make_shared.hpp,boost/graph/incremental_components.hpp
Primary,graph,spirit,boost/spirit/include/classic_actor.hpp,boost/graph/detail/read_graphviz_spirit.hpp
Primary,graph,spirit,boost/spirit/include/classic_attribute.hpp,boost/graph/detail/read_graphviz_spirit.hpp
Primary,graph,spirit,boost/spirit/include/classic_closure.hpp,boost/graph/detail/read_graphviz_spirit.hpp
Primary,graph,spirit,boost/spirit/include/classic_confix.hpp,boost/graph/detail/read_graphviz_spirit.hpp
Primary,graph,spirit,boost/spirit/include/classic_core.hpp,boost/graph/detail/read_graphviz_spirit.hpp
Primary,graph,spirit,boost/spirit/include/classic_distinct.hpp,boost/graph/detail/read_graphviz_spirit.hpp
Primary,graph,spirit,boost/spirit/include/classic_dynamic.hpp,boost/graph/detail/read_graphviz_spirit.hpp
Primary,graph,spirit,boost/spirit/include/classic_escape_char.hpp,boost/graph/detail/read_graphviz_spirit.hpp
Primary,graph,spirit,boost/spirit/include/classic_lists.hpp,boost/graph/detail/read_graphviz_spirit.hpp
Primary,graph,spirit,boost/spirit/include/classic_multi_pass.hpp,boost/graph/detail/read_graphviz_spirit.hpp boost/graph/graphviz.hpp
Primary,graph,spirit,boost/spirit/include/phoenix1.hpp,boost/graph/detail/read_graphviz_spirit.hpp
Primary,graph,spirit,boost/spirit/include/phoenix1_binders.hpp,boost/graph/detail/read_graphviz_spirit.hpp
Primary,graph,static_assert,boost/static_assert.hpp,boost/graph/adjacency_matrix.hpp boost/graph/circle_layout.hpp boost/graph/compressed_sparse_row_graph.hpp boost/graph/connected_components.hpp boost/graph/detail/adjacency_list.hpp boost/graph/detail/compressed_sparse_row_struct.hpp boost/graph/detail/d_ary_heap.hpp boost/graph/graph_concepts.hpp boost/graph/graphviz.hpp boost/graph/labeled_graph.hpp boost/graph/named_graph.hpp boost/graph/strong_components.hpp boost/graph/subgraph.hpp boost/pending/property.hpp
Primary,graph,throw_exception,boost/throw_exception.hpp,boost/graph/astar_search.hpp boost/graph/detail/read_graphviz_spirit.hpp boost/graph/dimacs.hpp boost/graph/graphml.hpp boost/graph/gursoy_atun_layout.hpp boost/graph/metis.hpp boost/graph/metric_tsp_approx.hpp boost/graph/named_graph.hpp boost/graph/topological_sort.hpp libs/graph/src/graphml.cpp libs/graph/src/read_graphviz_new.cpp
Primary,graph,tti,boost/tti/has_member_function.hpp,boost/graph/depth_first_search.hpp
Primary,graph,tuple,boost/tuple/tuple.hpp,boost/graph/adjacency_matrix.hpp boost/graph/betweenness_centrality.hpp boost/graph/compressed_sparse_row_graph.hpp boost/graph/detail/compressed_sparse_row_struct.hpp boost/graph/graph_traits.hpp boost/graph/graph_utility.hpp boost/graph/graphviz.hpp boost/graph/hawick_circuits.hpp boost/graph/howard_cycle_ratio.hpp boost/graph/incremental_components.hpp boost/graph/is_kuratowski_subgraph.hpp boost/graph/is_straight_line_drawing.hpp boost/graph/king_ordering.hpp boost/graph/make_biconnected_planar.hpp boost/graph/make_connected.hpp boost/graph/make_maximal_planar.hpp boost/graph/maximum_adjacency_search.hpp boost/graph/named_graph.hpp boost/graph/planar_detail/boyer_myrvold_impl.hpp boost/graph/reverse_graph.hpp boost/graph/sequential_vertex_coloring.hpp boost/graph/stoer_wagner_min_cut.hpp boost/graph/tree_traits.hpp boost/graph/vf2_sub_graph_iso.hpp
Primary,graph,tuple,boost/tuple/tuple_comparison.hpp,boost/graph/is_straight_line_drawing.hpp
Primary,graph,type_traits,boost/type_traits.hpp,boost/graph/adjacency_matrix.hpp boost/graph/boyer_myrvold_planar_test.hpp boost/graph/dijkstra_shortest_paths.hpp boost/graph/directed_graph.hpp boost/graph/named_function_params.hpp boost/graph/properties.hpp boost/graph/reverse_graph.hpp boost/graph/subgraph.hpp boost/graph/two_graphs_common_spanning_trees.hpp boost/graph/undirected_graph.hpp boost/pending/property.hpp
Primary,graph,type_traits,boost/type_traits/add_const.hpp,boost/graph/buffer_concepts.hpp
Primary,graph,type_traits,boost/type_traits/add_reference.hpp,boost/graph/buffer_concepts.hpp
Primary,graph,type_traits,boost/type_traits/conversion_traits.hpp,boost/graph/copy.hpp boost/graph/strong_components.hpp
Primary,graph,type_traits,boost/type_traits/has_less.hpp,boost/graph/vf2_sub_graph_iso.hpp
Primary,graph,type_traits,boost/type_traits/is_base_and_derived.hpp,boost/graph/mesh_graph_generator.hpp boost/graph/overloading.hpp boost/graph/rmat_graph_generator.hpp boost/graph/ssca_graph_generator.hpp
Primary,graph,type_traits,boost/type_traits/is_base_of.hpp,boost/graph/erdos_renyi_generator.hpp boost/graph/named_graph.hpp
Primary,graph,type_traits,boost/type_traits/is_convertible.hpp,boost/graph/betweenness_centrality.hpp boost/graph/graph_mutability_traits.hpp boost/graph/graphml.hpp boost/graph/kamada_kawai_spring_layout.hpp boost/graph/random.hpp
Primary,graph,type_traits,boost/type_traits/is_integral.hpp,boost/graph/random_layout.hpp
Primary,graph,type_traits,boost/type_traits/is_same.hpp,boost/graph/adjacency_list.hpp boost/graph/betweenness_centrality.hpp boost/graph/detail/read_graphviz_spirit.hpp boost/graph/erdos_renyi_generator.hpp boost/graph/graph_concepts.hpp boost/graph/graph_mutability_traits.hpp boost/graph/graph_traits.hpp boost/graph/howard_cycle_ratio.hpp boost/graph/labeled_graph.hpp boost/graph/mesh_graph_generator.hpp boost/graph/named_graph.hpp boost/graph/rmat_graph_generator.hpp boost/graph/ssca_graph_generator.hpp boost/graph/visitors.hpp
Primary,graph,type_traits,boost/type_traits/is_unsigned.hpp,boost/graph/labeled_graph.hpp
Primary,graph,type_traits,boost/type_traits/remove_const.hpp,boost/graph/howard_cycle_ratio.hpp
Primary,graph,type_traits,boost/type_traits/remove_cv.hpp,boost/graph/named_graph.hpp
Primary,graph,type_traits,boost/type_traits/remove_reference.hpp,boost/graph/buffer_concepts.hpp boost/graph/hawick_circuits.hpp boost/graph/named_graph.hpp
Primary,graph,type_traits,boost/type_traits/same_traits.hpp,boost/graph/johnson_all_pairs_shortest.hpp boost/graph/property_iter_range.hpp boost/pending/detail/property.hpp
Primary,graph,typeof,boost/typeof/typeof.hpp,boost/graph/buffer_concepts.hpp
Primary,graph,unordered,boost/unordered/unordered_flat_map.hpp,boost/graph/isomorphism.hpp
Primary,graph,unordered,boost/unordered_map.hpp,boost/graph/isomorphism.hpp boost/graph/labeled_graph.hpp boost/pending/container_traits.hpp
Primary,graph,unordered,boost/unordered_set.hpp,boost/graph/adjacency_list.hpp boost/graph/detail/set_adaptor.hpp boost/pending/container_traits.hpp
Primary,graph,utility,boost/operators.hpp,boost/graph/detail/adjacency_list.hpp boost/graph/detail/connected_components.hpp boost/graph/detail/incremental_components.hpp boost/graph/detail/shadow_iterator.hpp boost/graph/matrix_as_graph.hpp boost/graph/stanford_graph.hpp
Primary,graph,utility,boost/utility/result_of.hpp,boost/graph/hawick_circuits.hpp boost/graph/named_function_params.hpp boost/graph/stoer_wagner_min_cut.hpp
Primary,graph,xpressive,boost/xpressive/xpressive_static.hpp,boost/graph/graphviz.hpp
